,FTIR_Results_,count
250,"['MDMA', 'MDA'] ['MDMA', 'Other'] ",1
251,"['MDMA', 'MDA'] ['Ketamine'] ['Cocaine', 'Unknown']",1
252,"['MDMA', 'MDA'] ['Ketamine', 'Unknown'] ",1
253,"['MDMA', 'MDA', 'Unknown'] ['MDMA', 'Unknown'] ",1
254,"['MDMA', 'Cocaine'] ['MDMA', 'Unknown'] ",1
255,"['MDMA', 'Cocaine'] ['Ketamine'] ",1
256,"['MDA'], ['Unknown'], ['MDMA'],",1
257,"['MDA'], ['MDA'], ['Unknown'],",1
258,"['MDA'], ['MDA'], ['Cocaine'],",1
259,"['MDA'],['MDMA'] ['MDA'],['MDMA'] ['MDMA'],",1
260,"['MDA'],['MDMA'] ['Cocaine'], ['Ketamine', 'Unknown'],",1
261,"['MDA'],['MDMA', 'Unknown'],['Unknown'] ['MDMA', 'Unknown', 'MDA', 'Other'],['MDMA', 'Unknown'],['Unknown'] ['Ketamine'],['MDA', 'Unknown', 'Other'],['Cocaine']",1
262,"['MDA'],['MDMA', 'Unknown'] ['Ketamine'], ,",1
263,"['MDA'],['MDMA', 'Unknown'] ['Ketamine'], ['Ketamine'],",1
264,"['MDA'],['LSD'] ['Ketamine'],['MDMA'] ,['Unknown']",1
265,['MDA']  ['MDA'],1
266,"['MDA'] ['Unknown', 'Ketamine'] ",1
267,"['MDA'] ['Unknown', 'Cocaine'] ",1
268,"['MDA'] ['MDMA', 'Other'] ['MDMA']",1
269,"['MDA'] ['MDMA', 'MDA'] ",1
270,['MDA'] ['Ketamine'] ,1
271,['MDA'] ['Ketamine'] ['Cocaine'],1
272,"['MDA'] ['Ketamine'] ['Cocaine', 'Unknown']",1
273,"['MDA'] ['Ketamine'] ['Cocaine', 'Unknown', 'Unknown']",1
274,"['MDA'] ['Ketamine', 'Unknown'] ['MDMA']",1
275,['MDA'] ['Cocaine'] ['Ketamine'],1
276,"['MDA'] ['Cocaine', 'Unknown', 'Unknown'] ['MDA']",1
277,"['MDA', 'Unknown'] ['MDMA', 'Unknown'] ",1
278,"['MDA', 'Unknown'] ['Cocaine'] ",1
279,"['MDA', 'Unknown', 'Unknown'] ['MDA', 'Unknown', 'Unknown'] ['MDMA']",1
280,"['MDA', 'Other'] ['MDMA', 'Other'] ['MDMA', 'Other']",1
281,"['MDA', 'Other'] ['MDMA', 'Other'] ['Ketamine', 'Other']",1
282,"['MDA', 'Other'] ['MDA', 'Other'] ",1
283,"['MDA', 'Other'] ['Ketamine', 'Other'] ['MDMA', 'Other']",1
284,"['MDA', 'Other'] ['Cocaine'] ['Cocaine']",1
285,"['MDA', 'MDMA'] ['MDMA'] ",1
286,"['MDA', 'MDMA', 'Unknown'] ['Ketamine'] ",1
287,"['Ketamine'],['Unknown'] ['Ketamine'], ['Ketamine'],",1
288,"['Ketamine'],['Unknown', 'MDA'],['Ketamine', 'Unknown'] ['MDMA'],['MDMA'],['Ketamine'] ['Unknown', 'MDA'],['Unknown', 'Unknown'],",1
289,"['Ketamine'],['Unknown', 'Cocaine'] ['Ketamine'],['Unknown'] ['MDMA', 'Unknown'],",1
290,"['Ketamine'],['MDMA'],['Cocaine', 'Unknown', 'Methamphetamine'],['Ketamine'],['Unknown', 'Unknown'],['Ketamine', 'Cocaine'] ['Unknown'],['Ketamine'],['Cocaine'],['Ketamine'],['MDMA'],['Cocaine', 'Unknown'] ['Cocaine', 'Unknown', 'Unknown'],['MDMA'],['Other'],['Ketamine'],['MDA'],",1
291,"['Ketamine'],['MDMA'] ['Ketamine'], ['MDMA'],",1
292,"['Ketamine'],['MDMA'] ['Cocaine', 'Unknown'], ['MDMA'],",1
293,"['Ketamine'],['MDMA'] ['Cocaine', 'Unknown'],['MDMA'] ['MDMA', 'Unknown'],",1
294,"['Ketamine'],['MDMA', 'Unknown'] ['Unknown', 'MDA', 'MDMA', 'Unknown'],['Cocaine', 'Unknown', 'Unknown'] ['Cocaine', 'Other'],",1
295,"['Ketamine'],['MDA'] ['Ketamine'], ['Ketamine'],",1
296,"['Ketamine'],['MDA'] ['Ketamine'], ['Ketamine', 'Unknown'],",1
297,"['Ketamine'],['MDA', 'Unknown'] ['Unknown'],['MDMA'] ['Unknown'],",1
298,"['Ketamine'],['MDA', 'Cocaine'] ['Ketamine'],['MDMA'] ['Ketamine'],['Cocaine']",1
299,"['Ketamine'],['Ketamine'] ['MDMA'], ['MDMA', 'Unknown'],",1
300,"['Ketamine'],['Ketamine'] ['Ketamine'],['MDA', 'Unknown'] ['Ketamine'],['Cocaine', 'Unknown']",1
301,"['Ketamine'],['Ketamine', 'Unknown'] ['Ketamine', 'Unknown'],['Unknown', 'Unknown'] ['Ketamine'],['Ketamine']",1
302,"['Ketamine'],['Cocaine'],['Unknown'] ['MDMA'],['Cocaine', 'Unknown', 'Unknown'], ['Cocaine', 'Unknown', 'Unknown'],,",1
303,"['Ketamine'],['Cocaine', 'Unknown'] ['Ketamine', 'Unknown'],['Cocaine'] ['MDMA'],",1
304,['Ketamine']  ['MDMA'],1
305,['Ketamine']  ['Ketamine'],1
306,"['Ketamine'] ['Unknown', 'Unknown'] ",1
307,"['Ketamine'] ['Unknown', 'Unknown', 'Unknown'] ",1
