,PreviousDC,Gender,belief,testing_for,obtained,All_FTIR_Results,FTIR_Other_detail,Primary_FTIR_Results,surprised_19,Intentions,Discard,Match_Primary,BehChange_NoChange,HarmRed_NoHarmRed,FTIR_prim,FTIR_secon,FTIR_teri,FTIR_quar,Target
546,yes,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
547,yes,Male,['Unknown'],Both,Ground,['Other'],,['Other'],Surprised,Dispose,no,Not Match,Behaviour Change,Harm Reduction,Unknown,none,none,none,
548,no,Female,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Surprised,Other,no,Match,Behaviour Change,No Change,Cocaine,none,none,none,
549,yes,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",inostiol,['Cocaine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Cocaine,Other,none,none,inostiol
550,no,Female,['MDA'],Both,Offsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
551,no,Female,['MDMA'],Both,Offsite,['MDMA'],mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,mannitol
552,no,Female,['MDMA'],Self,Onsite,"['Unknown', 'Unknown', 'MDMA', 'Unknown']",cellulose; lactose; and baby oil,['Unknown'],Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,Other,Other,MDMA,Other,cellulose; lactose; and baby oil
553,yes,Female,['Cocaine'],Self,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
554,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Surprised,TakeAsIntended,yes,Match,No Change,No Change,Ketamine,none,none,none,
555,yes,Female,['Unknown'],Both,Ground,"['Cocaine', 'Unknown', 'Other']",levamisole,['Cocaine'],Surprised,Dispose,yes,Not Match,Behaviour Change,Harm Reduction,Cocaine,Other,Unknown,none,levamisole
556,yes,Male,['Ketamine'],Self,Offsite,"['MDMA', 'Other']",,['MDMA'],Surprised,Other,,Not Match,Behaviour Change,No Change,MDMA,Unknown,none,none,
557,yes,Male,['Other'],Both,Onsite,['Unknown'],DMT,['Unknown'],Not Surprised,TakeAsIntended,,Not Match,No Change,No Change,Other,none,none,none,DMT
558,yes,Male,['Cocaine'],Both,Offsite,"['Cocaine', 'Other']",likely carbohydrate,['Cocaine'],Surprised,Other,,Match,Behaviour Change,No Change,Cocaine,Unknown,none,none,likely carbohydrate
559,no,Male,['Unknown'],Self,Ground,"['Ketamine', 'MDMA', 'Unknown']",MSM,['Ketamine'],Surprised,Friend,no,Not Match,Behaviour Change,Harm Reduction,Ketamine,MDMA,Other,none,MSM
560,yes,Female,['Cocaine'],Both,Offsite,"['Unknown', 'Methamphetamine', 'Cocaine']",benzocaine,['Unknown'],Surprised,Change,no,Not Match,Behaviour Change,Harm Reduction,Other,Meth,Cocaine,none,benzocaine
562,yes,Male,['Ketamine'],Self,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,yes,Match,No Change,No Change,Ketamine,none,none,none,
563,no,Female,['Cocaine'],Self,Onsite,['Unknown'],mephetine,['Unknown'],Surprised,Change,,Not Match,Behaviour Change,Harm Reduction,Other,none,none,none,mephetine
564,yes,Female,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
565,no,Female,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
566,yes,Female,['MDA'],Both,Offsite,"['Cocaine', 'Unknown']",,['Cocaine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,Other,none,none,
567,yes,Male,['MDMA'],Both,Onsite,"['Cocaine', 'Unknown', 'Unknown', 'Unknown']",caffeine; benzocaine and aspirin,['Cocaine'],Surprised,Other,no,Not Match,Behaviour Change,No Change,Cocaine,Other,Other,Other,caffeine; benzocaine and aspirin
568,no,Female,['MDMA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,Less,yes,Not Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
569,no,Male,['Other'],Self,Offsite,"['Unknown', 'Unknown']",DMT; 4 HO M(PT,['Unknown'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,Other,none,none,DMT; 4 HO M(PT
570,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
571,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
572,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
573,yes,Male,['MDA'],Both,Onsite,"['MDMA', 'Unknown']",MSM,['MDMA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,Other,none,none,MSM
574,yes,Female,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",cellulose,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,cellulose
575,yes,Male,['MDA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
576,yes,Male,['Other'],Both,Onsite,"['Unknown', 'Other']",,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,Other,Unknown,none,none,
577,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
578,yes,Male,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Surprised,Other,no,Match,Behaviour Change,No Change,Cocaine,none,none,none,
579,no,Male,['MDMA'],Both,Offsite,"['Unknown', 'MDMA', 'Unknown']",phenibut; JWitt-019,['Unknown'],Surprised,Less,,Not Match,Behaviour Change,Harm Reduction,Other,MDMA,Other,none,phenibut; JWitt-019
580,no,Male,['Ketamine'],Self,Onsite,"['Ketamine', 'Other']",,['Ketamine'],Not Surprised,More,,Match,Behaviour Change,No Change,Ketamine,Unknown,none,none,
581,no,Male,"['Cocaine', 'Unknown']",Both,Ground,"['Ketamine', 'Unknown']",magnesium sulfate,['Ketamine'],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,Ketamine,Other,none,none,magnesium sulfate
582,yes,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
583,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,none,none,none,
584,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
585,yes,Male,['Unknown'],Self,Ground,"['Cocaine', 'Unknown']",inositol,['Cocaine'],Not Surprised,Dispose,yes,Not Match,Behaviour Change,Harm Reduction,Cocaine,Other,none,none,inositol
586,yes,Male,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
587,no,Male,['Other'],Self,Offsite,['Unknown'],MXE,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,MXE
588,no,Male,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,
589,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
590,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
591,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
593,no,Male,['MDMA'],Other,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
594,no,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
595,no,Male,['LSD'],Both,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
596,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
597,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
598,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Unknown', 'Cocaine']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,Cocaine,none,mannitol
600,no,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
601,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
603,yes,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
604,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
605,no,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
606,yes,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
608,yes,Female,['Other'],Both,Onsite,['Unknown'],2CB,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,2CB
609,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
610,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
611,no,Male,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,More,no,Match,Behaviour Change,No Change,MDMA,Other,none,none,mannitol
612,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
613,yes,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
615,yes,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
617,no,Male,['MDMA'],Self,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
618,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
619,no,Female,['MDMA'],Self,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
620,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
621,no,Female,['MDMA'],Other,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
622,no,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",phenacitin,['Cocaine'],Surprised,Other,no,Match,Behaviour Change,No Change,Cocaine,Other,none,none,phenacitin
623,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
624,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
625,no,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
626,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
627,no,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
628,no,Female,['Cocaine'],Other,Onsite,"['Unknown', 'Cocaine']",creatine,['Unknown'],Not Surprised,More,no,Not Match,Behaviour Change,No Change,Other,Cocaine,none,none,creatine
629,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,,Match,No Change,Harm Reduction,MDMA,none,none,none,
630,no,Female,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",glutamine,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,glutamine
631,no,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown', 'Unknown']","inositol, paracetamol",['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,Other,none,"inositol, paracetamol"
632,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
633,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
635,yes,Male,['Other'],Self,Online,"['Unknown', 'Ketamine']",mephedrone,['Unknown'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,Ketamine,none,none,mephedrone
636,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Unknown', 'Unknown']","fumeric acid, thyrosine",['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,Other,none,"fumeric acid, thyrosine"
637,yes,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,Other,,Match,Behaviour Change,No Change,MDMA,none,none,none,
638,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
639,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,none,none,none,
640,no,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",inositol,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,inositol
641,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
642,no,Female,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
643,no,Female,['Cocaine'],Self,Onsite,"['Unknown', 'Cocaine']",creatine,['Unknown'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,Cocaine,none,none,creatine
644,no,Male,['LSD'],Both,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
645,yes,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown', 'Unknown']","mannitol, dimethyl sulfone",['MDMA'],Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,Other,Other,none,"mannitol, dimethyl sulfone"
646,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
648,yes,Male,['MDMA'],Other,Medical,['MDMA'],,['MDMA'],Not Surprised,Other,,Match,Behaviour Change,No Change,MDMA,none,none,none,
650,no,Male,['MDMA'],Both,Offsite,"['MDA', 'Unknown', 'Unknown']","MSM, unknown",['MDA'],Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,MDA,Other,Other,none,"MSM, unknown"
651,yes,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,yes,Match,No Change,No Change,MDMA,none,none,none,
653,no,Male,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
654,no,Male,['MDMA'],Both,Offsite,"['Unknown', 'MDMA']",sodium bicarbonate,['Unknown'],Not Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,Other,MDMA,none,none,sodium bicarbonate
655,no,Male,['Unknown'],Both,Offsite,['Unknown'],"peanut, flour, licqorice",['Unknown'],Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Other,none,none,none,"peanut, flour, licqorice"
656,yes,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown', 'Unknown']","caffiene, n ac cysteine, amiino acid",['MDMA'],Surprised,Other,Unknown,Match,Behaviour Change,No Change,MDMA,Other,Other,none,"caffiene, n ac cysteine, amiino acid"
657,no,Male,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",lactose,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,lactose
659,yes,Female,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
660,no,Female,['Cocaine'],Self,Onsite,"['Cocaine', 'Unknown', 'Unknown']","levamisole, sorbitol",['Cocaine'],Not Surprised,Other,no,Match,Behaviour Change,No Change,Cocaine,Other,Other,none,"levamisole, sorbitol"
661,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
662,no,Female,['MDMA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDA,none,none,none,
663,yes,Female,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,Ketamine,none,none,none,
665,yes,Female,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
666,yes,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
667,no,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",phenacetin,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,Other,none,none,phenacetin
670,no,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,Other,none,none,mannitol
671,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
672,yes,Female,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",phenacetin,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,phenacetin
674,yes,Male,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
675,yes,Female,['Cocaine'],Both,Offsite,"['Cocaine', 'Unknown']",inositol,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,inositol
676,yes,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
677,no,Male,['LSD'],Both,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,Other,none,none,mannitol
679,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
680,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
681,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
682,no,Male,['MDMA'],Both,Offsite,"['MDMA', 'MDA']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,MDA,none,none,
683,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,MDMA,none,none,none,
684,yes,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
685,yes,Female,['Cocaine'],Both,Online,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
686,no,Male,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
688,yes,Male,['MDMA'],Self,Offsite,"['MDMA', 'Other']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Unknown,none,none,
689,no,Male,['Cocaine'],Both,Ground,"['Cocaine', 'Unknown', 'Other']",sodium bicarbonate,['Cocaine'],Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Cocaine,Other,Unknown,none,sodium bicarbonate
690,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
691,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
692,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
695,yes,Male,['Cocaine'],Self,Ground,"['Cocaine', 'Unknown']",flour,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,flour
696,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
697,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Other']",,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,Unknown,none,none,
698,no,Male,"['MDMA', 'MDA']",Both,Offsite,"['MDA', 'Other']",,['MDA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDA,Unknown,none,none,
699,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,MDMA,none,none,none,
700,yes,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
701,no,Female,[],Both,Onsite,['Cocaine'],,['Cocaine'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,none,none,none,
702,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
703,yes,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
704,no,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,none,none,none,
705,yes,Male,['MDA'],Both,Onsite,"['MDA', 'Unknown']",aspirin,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,Other,none,none,aspirin
706,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
707,yes,Male,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
708,no,Male,['MDMA'],Other,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
709,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
710,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
711,yes,Male,['MDMA'],Self,Offsite,['MDA'],,['MDA'],Not Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
712,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
713,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
714,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
715,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
716,yes,Female,['MDMA'],Both,Offsite,['Unknown'],"aluminum sulfate, potassium, dodecahydrate",['Unknown'],Surprised,Dispose,yes,Not Match,Behaviour Change,Harm Reduction,Other,none,none,none,"aluminum sulfate, potassium, dodecahydrate"
717,yes,Male,['Ketamine'],Self,Onsite,"['Ketamine', 'Unknown']",methoxyphenidine,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,methoxyphenidine
718,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
719,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
720,no,Male,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
721,no,Male,['MDA'],Both,Offsite,"['MDA', 'Cocaine']",,['MDA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,Cocaine,none,none,
722,no,Male,['MDMA'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
723,yes,Male,['Cocaine'],Self,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
724,no,Male,['MDA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
